Version     :: 0.0.9.8
DateTime    :: 11/6/2023 08:27:49 AM
RegExType   :: Evade :: Block You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) (?<type>block)[s]? (?<source>.*)'s .*[\.!]
(08:28:54) Beerbaron blocks Rokaw's attack.
(08:28:54) Bourbon blocks chs's attack.
(08:28:54) Trashcans blocks Jaz's attack.
(08:28:54) typeW blocks xReaLx's attack.
(08:28:54) Kansus blocks POOPCUMPISS's attack.
(08:28:54) Bourbon blocks WillPowder's attack.
(08:28:54) typeW blocks xReaLx's attack.
(08:28:54) typeW blocks xReaLx's attack.
(08:28:54) Kansus blocks POOPCUMPISS's attack.
(08:28:54) Bourbon blocks WillPowder's attack.
(08:28:55) typeW blocks xReaLx's attack.
(08:28:55) typeW blocks xReaLx's attack.
(08:28:55) Kansus blocks POOPCUMPISS's attack.
(08:28:55) Kansus blocks POOPCUMPISS's attack.
(08:28:55) Bourbon blocks WillPowder's attack.
(08:28:55) Kansus blocks POOPCUMPISS's attack.
(08:28:55) typeW blocks xReaLx's attack.
(08:28:55) Kansus blocks Priest's attack.
(08:28:55) Bourbon blocks chs's attack.
(08:28:55) typeW blocks xReaLx's attack.
(08:28:56) ShiftyInc blocks Jaz's attack.
(08:28:57) Eihortetung blocks Kansus's attack.
(08:28:57) Eihortetung blocks Ninja's attack.
(08:28:57) ShiftyInc blocks Jaz's attack.
(08:28:58) ShiftyInc blocks Ninja's attack.
(08:28:58) ShiftyInc blocks Ninja's attack.
(08:28:58) ShiftyInc blocks typeW's attack.
(08:28:58) ShiftyInc blocks Peking Duck's attack.
(08:28:59) ShiftyInc blocks Ninja's attack.
(08:28:59) ShiftyInc blocks typeW's attack.
(08:28:59) ShiftyInc blocks typeW's attack.
(08:28:59) ShiftyInc blocks pippo's attack.
(08:28:59) ShiftyInc blocks lover's attack.
(08:28:59) Eihortetung blocks Rokaw's attack.
